379.17	0.09
379.22	0.09
379.26	0.09
379.31	0.1
379.36	0.1
379.41	0.1
379.46	0.09
379.5	0.09
379.55	0.1
379.6	0.1
379.65	0.09
379.69	0.09
379.74	0.1
379.79	0.1
379.84	0.09
379.88	0.09
379.93	0.1
379.98	0.1
380.03	0.1
380.08	0.09
380.12	0.09
380.17	0.1
380.22	0.1
380.27	0.09
380.31	0.09
380.36	0.1
380.41	0.1
380.46	0.09
380.5	0.09
380.55	0.1
380.6	0.1
380.65	0.09
380.69	0.09
380.74	0.1
380.79	0.1
380.84	0.1
380.89	0.09
380.93	0.09
380.98	0.1
381.03	0.1
381.08	0.09
381.12	0.09
381.17	0.1
381.22	0.1
381.27	0.09
381.31	0.09
381.36	0.1
381.41	0.1
381.46	0.09
381.5	0.09
381.55	0.1
381.6	0.1
381.65	0.09
381.69	0.09
381.74	0.1
381.79	0.1
381.84	0.09
381.88	0.09
381.93	0.1
381.98	0.1
382.03	0.09
382.07	0.09
382.12	0.1
382.17	0.09
382.21	0.09
382.26	0.1
382.31	0.1
382.36	0.09
382.4	0.09
382.45	0.1
382.5	0.1
382.55	0.09
382.59	0.09
382.64	0.1
382.69	0.1
382.74	0.09
382.78	0.09
382.83	0.1
382.88	0.1
382.93	0.09
382.97	0.09
383.02	0.1
383.07	0.09
383.11	0.09
383.16	0.1
383.21	0.1
383.26	0.09
383.3	0.09
383.35	0.1
383.4	0.1
383.45	0.09
383.49	0.09
383.54	0.1
383.59	0.09
383.63	0.09
383.68	0.1
383.73	0.1
383.78	0.09
383.82	0.09
383.87	0.1
383.92	0.09
383.96	0.09
384.01	0.1
384.06	0.1
384.11	0.09
384.15	0.09
384.2	0.1
384.25	0.09
384.29	0.09
384.34	0.1
384.39	0.1
384.44	0.09
384.48	0.09
384.53	0.1
384.58	0.09
384.62	0.09
384.67	0.1
384.72	0.1
384.77	0.09
384.81	0.09
384.86	0.1
384.91	0.09
384.95	0.09
385	0.1
385.05	0.1
385.1	0.09
385.14	0.09
385.19	0.1
385.24	0.09
385.28	0.09
385.33	0.1
385.38	0.09
385.42	0.09
385.47	0.1
385.52	0.1
385.57	0.09
385.61	0.09
385.66	0.1
